,season_year,result,team_long_name_home,team_long_name_away
1900,2015,away,Arsenal,West Ham United
1901,2015,away,Bournemouth,West Ham United
1902,2015,draw,Chelsea,West Ham United
1903,2015,away,Everton,West Ham United
1904,2015,draw,Leicester City,West Ham United
1905,2015,draw,Manchester United,West Ham United
1906,2015,home,Newcastle United,West Ham United
1907,2015,draw,Norwich City,West Ham United
1908,2015,home,Stoke City,West Ham United
1909,2015,away,West Bromwich Albion,West Ham United
1910,2015,draw,Aston Villa,West Ham United
1911,2015,away,Liverpool,West Ham United
1912,2015,draw,Sunderland,West Ham United
1913,2015,away,Crystal Palace,West Ham United
1914,2015,away,Manchester City,West Ham United
1915,2015,home,Southampton,West Ham United
1916,2015,draw,Swansea City,West Ham United
1917,2015,home,Tottenham Hotspur,West Ham United
1918,2015,home,Watford,West Ham United
1919,2015,home,Arsenal,Everton
1920,2015,draw,Bournemouth,Everton
1921,2015,draw,Chelsea,Everton
1922,2015,home,Leicester City,Everton
1923,2015,home,Manchester United,Everton
1924,2015,away,Newcastle United,Everton
1925,2015,draw,Norwich City,Everton
1926,2015,away,Stoke City,Everton
1927,2015,away,West Bromwich Albion,Everton
1928,2015,away,Aston Villa,Everton
1929,2015,home,Liverpool,Everton
1930,2015,home,Sunderland,Everton
1931,2015,draw,West Ham United,Everton
1932,2015,draw,Crystal Palace,Everton
1933,2015,draw,Manchester City,Everton
1934,2015,away,Southampton,Everton
1935,2015,draw,Swansea City,Everton
1936,2015,draw,Tottenham Hotspur,Everton
1937,2015,draw,Watford,Everton
1938,2015,draw,Arsenal,Tottenham Hotspur
1939,2015,away,Bournemouth,Tottenham Hotspur
1940,2015,draw,Chelsea,Tottenham Hotspur
1941,2015,draw,Everton,Tottenham Hotspur
1942,2015,draw,Leicester City,Tottenham Hotspur
1943,2015,home,Manchester United,Tottenham Hotspur
1944,2015,home,Newcastle United,Tottenham Hotspur
1945,2015,away,Norwich City,Tottenham Hotspur
1946,2015,away,Stoke City,Tottenham Hotspur
1947,2015,draw,West Bromwich Albion,Tottenham Hotspur
1948,2015,away,Aston Villa,Tottenham Hotspur
1949,2015,draw,Liverpool,Tottenham Hotspur
1950,2015,away,Sunderland,Tottenham Hotspur
1951,2015,home,West Ham United,Tottenham Hotspur
1952,2015,away,Crystal Palace,Tottenham Hotspur
1953,2015,away,Manchester City,Tottenham Hotspur
1954,2015,away,Southampton,Tottenham Hotspur
1955,2015,draw,Swansea City,Tottenham Hotspur
1956,2015,away,Watford,Tottenham Hotspur
1957,2015,home,Arsenal,Sunderland
1958,2015,home,Bournemouth,Sunderland
1959,2015,home,Chelsea,Sunderland
1960,2015,home,Everton,Sunderland
1961,2015,home,Leicester City,Sunderland
1962,2015,home,Manchester United,Sunderland
1963,2015,draw,Newcastle United,Sunderland
1964,2015,away,Norwich City,Sunderland
1965,2015,draw,Stoke City,Sunderland
1966,2015,home,West Bromwich Albion,Sunderland
1967,2015,draw,Aston Villa,Sunderland
1968,2015,draw,Liverpool,Sunderland
1969,2015,home,West Ham United,Sunderland
1970,2015,away,Crystal Palace,Sunderland
1971,2015,home,Manchester City,Sunderland
1972,2015,draw,Southampton,Sunderland
1973,2015,away,Swansea City,Sunderland
1974,2015,home,Tottenham Hotspur,Sunderland
1975,2015,draw,Watford,Sunderland
1976,2015,home,Arsenal,Manchester City
1977,2015,away,Bournemouth,Manchester City
1978,2015,away,Chelsea,Manchester City
1979,2015,away,Everton,Manchester City
1980,2015,draw,Leicester City,Manchester City
1981,2015,draw,Manchester United,Manchester City
1982,2015,draw,Newcastle United,Manchester City
